|Hazard|99.5|98.55|47.9|
|Wan-Bissaka|90.1|89.31|30.1|
|Alonso|81.6|80.78|46.1|
|Agüero|76.7|75.95|50.6|
|Trippier|66.9|60.03|34.2|
|Maddison|60.7|57.8|17.8|
|Doherty|55.4|41.98|11.9|
|Richarlison|53.1|53.88|23.5|
|Fraser|47.3|45.77|22.6|
|Robertson|46.8|52.87|27.7|
|Patrício|46.5|38.8|9.4|
|Mitrovic|40.7|42.49|26.1|
|Wilson|40.0|34.53|20.3|
|Mané|39.2|41.63|37.5|
|Salah|31.8|28.53|32.5|
|Hamer|30.6|29.38|7.8|
|Bennett|29.9|35.03|11.9|
|Ederson|28.5|26.62|25.0|
|Kane|26.6|32.01|31.1|
|Alexander-Arnold|25.5|27.45|21.1|
|Lacazette|21.5|18.77|11.6|
|Højbjerg|18.0|19.33|5.3|
|Hennessey|17.7|16.73|7.8|
|Lucas Moura|15.4|17.65|21.4|
|Zaha|14.9|17.21|21.6|
|Arnautovic|14.4|14.5|17.0|
|Jiménez|13.6|12.48|7.2|
|Ings|11.6|12.84|5.9|
|Foster|11.2|10.16|4.1|
|Hart|11.1|12.3|9.7|
|Vardy|10.6|9.21|4.9|
|Neves|10.5|11.54|21.3|
|Fabianski|9.9|12.46|13.4|
|Pereira|8.9|6.46|4.9|
|David Silva|8.3|7.36|7.0|
|Mendy|8.2|9.5|13.8|
|Billing|8.1|7.38|2.6|
|King|8.0|7.02|5.3|
|Walker|7.7|7.16|15.4|
|Sterling|7.2|6.58|5.6|
|Kamara|6.9|6.94|8.0|
|Ward|6.7|5.19|0.5|
|Shaw|6.6|8.35|9.4|
|Stephens|6.5|7.37|5.3|
|Holebas|6.3|7.43|16.2|
|Gudmundsson|6.1|8.34|3.2|
|Peltier|6.1|5.81|1.7|
|Laporte|5.8|7.5|8.1|
|Stekelenburg|5.4|6.07|3.9|
|Bernardo Silva|5.4|6.33|9.3|
|Hughes|5.4|4.28|2.1|
|Ryan|4.8|4.7|3.7|
|Bellerín|4.6|4.4|10.5|
|Speroni|4.5|5.54|10.5|
|Begovic|4.5|4.54|4.4|
|Jonny|4.0|2.88|2.5|
|Button|4.0|6.62|1.7|
|Son|3.9|3.16|2.2|
|Alisson|3.9|5.43|19.2|
|Knockaert|3.9|4.18|1.8|
